barcode,category,categoryCode,name,topBrand,_id.$oid,cpg.$id.$oid,cpg.$ref,brandCode
511111019862,Baking,BAKING,test brand @1612366101024,False,601ac115be37ce2ead437551,601ac114be37ce2ead437550,Cogs,
511111519928,Beverages,BEVERAGES,Starbucks,False,601c5460be37ce2ead43755f,5332f5fbe4b03c9a25efd0ba,Cogs,STARBUCKS
511111819905,Baking,BAKING,test brand @1612366146176,False,601ac142be37ce2ead43755d,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146176
511111519874,Baking,BAKING,test brand @1612366146051,False,601ac142be37ce2ead43755a,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146051
511111319917,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,False,601ac142be37ce2ead43755e,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1612366146827
511111719885,Baking,BAKING,test brand @1612366146091,False,601ac142be37ce2ead43755b,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146091
511111219897,Baking,BAKING,test brand @1612366146133,False,601ac142be37ce2ead43755c,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146133
511111104810,Condiments & Sauces,,J.L. Kraft,,5cdad0f5166eb33eb7ce0faa,559c2234e4b06aca36af13c6,Cogs,J.L. KRAFT
511111504412,Canned Goods & Soups,,Campbell's Home Style,False,5ab15636e4b0be0a89bb0b07,5a734034e4b0d58f376be874,Cogs,CAMPBELLS HOME STYLE
511111504788,Baking,,test,,5c408e8bcd244a1fdb47aee7,59ba6f1ce4b092b29c167346,Cogs,TEST
511111516354,Baking,BAKING,test brand @1598813526777,,5f4bf556be37ce0b4491554d,5f4bf556be37ce0b44915549,Cogs,TEST BRANDCODE @1598813526777
511111102540,,,MorningStar,,57c08106e4b0718ff5fcb02c,5332f5f2e4b03c9a25efd0aa,Cpgs,
511111201076,Baking,,Calumet,False,588ba07be4b02187f85cdadd,559c2234e4b06aca36af13c6,Cogs,CALUMET
511111205012,Magazines,,Entertainment Weekly,,5d6413156d5f3b23d1bc790a,5d5d4fd16d5f3b23d1bc7905,Cogs,511111205012
511111801801,Breakfast & Cereal,,AUNT JEMIMA Syrup,False,585a9611e4b03e62d1ce0e74,5332f5fbe4b03c9a25efd0ba,Cogs,AUNT JEMIMA SYRUP
511111202233,Beer Wine Spirits,,Molson Canadian,False,57e5820ce4b0ac389136a311,5332f709e4b03c9a25efd0f1,Cpgs,MOLSON
511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,LotriminÂ®,False,5fb6adb8be37ce522e165cb8,5d9b4f591dda2c6225a284aa,Cogs,LOTRIMIN
511111515319,Baking,BAKING,test brand @1597342520277,,5f358338be37ce443bf9d55a,5f358338be37ce443bf9d557,Cogs,TEST BRANDCODE @1597342520277
511111317364,Baking,BAKING,test brand @1605535049181,False,5fb28549be37ce522e165cb5,5fb28549be37ce522e165cb4,Cogs,
511111300700,Beauty,,ST. IVES,False,592486bfe410d61fcea3d139,5332f5f6e4b03c9a25efd0b4,Cogs,ST IVES
511111305125,Baby,,Chris Image Test,,5c4699f387ff3577e203ea29,55b62995e4b0d8e685c14213,Cogs,CHRISIMAGE
511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-SeltzerÂ®,,5da6071ea60b87376833e34d,5d9b4f591dda2c6225a284aa,Cogs,ALKA SELTZER
511111802129,Condiments & Sauces,,Jack Daniel's,False,57ebc011e4b0ac389136a335,559c2234e4b06aca36af13c6,Cogs,JACK DANIEL'S BARBECUE
511111303947,,,Bottled Starbucks,,5332f5fee4b03c9a25efd0bd,53e10d6368abd3c7065097cc,Cpgs,
511111802914,,,Full Throttle,,5332fa7ce4b03c9a25efd22e,5332f5ebe4b03c9a25efd0a8,Cpgs,
511111914549,Baking,BAKING,PopUp Brand A,,5e9f18bfbe37ce3e45b6a77f,5e9f12f5be37ce3e45b6a77e,Cogs,
511111400769,Frozen,,MAGNUM Ice Cream,False,592486bee410d61fcea3d133,5332f5f6e4b03c9a25efd0b4,Cogs,MAGNUM Ice Cream
511111105329,Magazines,,Elegant Homes Magazine,,5d66d71fa3a018093ab34728,5d5d4fd16d5f3b23d1bc7905,Cogs,511111105329
511111316114,Baking,BAKING,test brand @1598635634882,,5f493e72be37ce64d0ae36c6,5f493e72be37ce64d0ae36c2,Cogs,TEST BRANDCODE @1598635634882
511111315957,Baking,BAKING,test brand @1598633693011,,5f4936ddbe37ce52f8314fd9,5f4936dcbe37ce52f8314fd8,Cogs,
511111201915,Grocery,,Taco Bell,False,57ebc2e7e4b0ac389136a34b,559c2234e4b06aca36af13c6,Cogs,TACO BELL
511111518112,Baking,BAKING,test brand @1607639214411,False,5fd2a0aebe37ce49eb72c0ee,5fd2a0aebe37ce49eb72c0ed,Cogs,
511111506249,Breakfast & Cereal,,Frosted Cheeriosâ„¢,,5dc03596a60b873d6b0666cd,53e10d6368abd3c7065097cc,Cogs,FROSTED CHEERIOS
511111916161,Baking,BAKING,test brand @1598639199674,,5f494c5f04db711dd8fe87e6,5f494c5d04db711dd8fe87e2,Cogs,TEST BRANDCODE @1598639199674
511111103653,,,Gold Medal,,5332f772e4b03c9a25efd125,5332f5f3e4b03c9a25efd0ae,Cpgs,
511111100621,Baking,,GODIVA Instant Pudding Mix,False,59dfaad1e4b0a56a2fa69abc,559c2234e4b06aca36af13c6,Cogs,GODIVA DRY PACKAGED DESSERTS
511111305910,Snacks,,LÃ„RABARâ„¢,,5daf33e71dda2c3e1416ae93,5332f5f3e4b03c9a25efd0ae,Cogs,LARABAR
511111115366,Baking,BAKING,test brand @1597350074333,,5f35a0babe37ce6853cff1ff,5f35a0babe37ce6853cff1fd,Cogs,TEST BRANDCODE @1597350074333
511111718079,Baking,BAKING,test brand @1607636368717,False,5fd29590be37ce38bbbefb28,5fd29590be37ce38bbbefb25,Cogs,TEST BRANDCODE @1607636368717
511111818182,Baking,BAKING,test brand @1607707830095,False,5fd3acb6be37ce0d9386bb40,5fd3acb5be37ce0d9386bb3e,Cogs,TEST BRANDCODE @1607707830095
511111504627,Household,,Cottonelle,False,5bd200a6965c7d66d92731ea,550b2565e4b001d5e9e4146f,Cogs,COTTONELLE
511111301691,Beverages,,Izze,False,585a9675e4b03e62d1ce0e7f,5332f5fbe4b03c9a25efd0ba,Cogs,IZZE
511111101178,Beverages,,Mio,False,5887a17ee4b02187f85cdad3,559c2234e4b06aca36af13c6,Cogs,MIO
511111503699,,,Glaceau vitaminwater,,5332f765e4b03c9a25efd11f,5332f5ebe4b03c9a25efd0a8,Cpgs,
